2024-12-07 15:35:50.758 [restartedMain] INFO    m.ServiceMarketplaceApplication - Starting ServiceMarketplaceApplication using Java 17.0.8 with PID 9432 (E:\Programming\Spring Tutorials\Intellij\Service-Marketplace\target\classes started by Kiran in E:\Programming\Spring Tutorials\Intellij\Service-Marketplace)
2024-12-07 15:35:50.762 [restartedMain] INFO    m.ServiceMarketplaceApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-07 15:35:50.785 [restartedMain] INFO    o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-12-07 15:35:50.785 [restartedMain] INFO    o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-12-07 15:35:51.213 [restartedMain] INFO    o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-12-07 15:35:51.245 [restartedMain] INFO    o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29 ms. Found 4 JPA repository interfaces.
2024-12-07 15:35:51.543 [restartedMain] INFO    o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-12-07 15:35:51.550 [restartedMain] INFO    o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-12-07 15:35:51.550 [restartedMain] INFO    o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
2024-12-07 15:35:51.580 [restartedMain] INFO    o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-12-07 15:35:51.580 [restartedMain] INFO    o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 795 ms
2024-12-07 15:35:51.594 [restartedMain] INFO    com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-12-07 15:35:51.687 [restartedMain] INFO    com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:practice user=SA
2024-12-07 15:35:51.688 [restartedMain] INFO    com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-12-07 15:35:51.693 [restartedMain] INFO    o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2'. Database available at 'jdbc:h2:mem:practice'
2024-12-07 15:35:51.740 [restartedMain] INFO    o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-12-07 15:35:51.763 [restartedMain] INFO    org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2024-12-07 15:35:51.778 [restartedMain] INFO    o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-12-07 15:35:51.918 [restartedMain] INFO    o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-12-07 15:35:51.938 [restartedMain] WARN    org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-12-07 15:35:52.398 [restartedMain] INFO    o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-12-07 15:35:52.424 [restartedMain] INFO    o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-12-07 15:35:52.626 [restartedMain] INFO    o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
2024-12-07 15:35:52.718 [restartedMain] WARN    o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-07 15:35:52.982 [restartedMain] INFO    o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-12-07 15:35:53.000 [restartedMain] INFO    o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-12-07 15:35:53.005 [restartedMain] INFO    m.ServiceMarketplaceApplication - Started ServiceMarketplaceApplication in 2.465 seconds (process running for 2.832)
2024-12-07 15:38:36.137 [SpringApplicationShutdownHook] INFO    o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-12-07 15:38:36.143 [SpringApplicationShutdownHook] WARN    o.s.b.f.s.DisposableBeanAdapter - Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-224]
2024-12-07 15:38:36.143 [SpringApplicationShutdownHook] INFO    com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-12-07 15:38:36.144 [SpringApplicationShutdownHook] INFO    com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-12-07 15:39:29.557 [restartedMain] INFO    m.ServiceMarketplaceApplication - Starting ServiceMarketplaceApplication using Java 17.0.8 with PID 12928 (E:\Programming\Spring Tutorials\Intellij\Service-Marketplace\target\classes started by Kiran in E:\Programming\Spring Tutorials\Intellij\Service-Marketplace)
2024-12-07 15:39:29.559 [restartedMain] INFO    m.ServiceMarketplaceApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-07 15:39:29.579 [restartedMain] INFO    o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-12-07 15:39:29.579 [restartedMain] INFO    o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-12-07 15:39:29.959 [restartedMain] INFO    o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-12-07 15:39:29.990 [restartedMain] INFO    o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27 ms. Found 4 JPA repository interfaces.
2024-12-07 15:39:30.237 [restartedMain] INFO    o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-12-07 15:39:30.242 [restartedMain] INFO    o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-12-07 15:39:30.243 [restartedMain] INFO    o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
2024-12-07 15:39:30.266 [restartedMain] INFO    o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-12-07 15:39:30.267 [restartedMain] INFO    o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 686 ms
2024-12-07 15:39:30.279 [restartedMain] INFO    com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-12-07 15:39:30.363 [restartedMain] INFO    com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:practice user=SA
2024-12-07 15:39:30.364 [restartedMain] INFO    com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-12-07 15:39:30.369 [restartedMain] INFO    o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2'. Database available at 'jdbc:h2:mem:practice'
2024-12-07 15:39:30.414 [restartedMain] INFO    o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-12-07 15:39:30.434 [restartedMain] INFO    org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2024-12-07 15:39:30.450 [restartedMain] INFO    o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-12-07 15:39:30.583 [restartedMain] INFO    o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-12-07 15:39:30.603 [restartedMain] WARN    org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-12-07 15:39:31.051 [restartedMain] INFO    o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-12-07 15:39:31.078 [restartedMain] INFO    o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-12-07 15:39:31.253 [restartedMain] INFO    o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
2024-12-07 15:39:31.334 [restartedMain] WARN    o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-07 15:39:31.583 [restartedMain] INFO    o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-12-07 15:39:31.601 [restartedMain] INFO    o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-12-07 15:39:31.606 [restartedMain] INFO    m.ServiceMarketplaceApplication - Started ServiceMarketplaceApplication in 2.221 seconds (process running for 2.495)
2024-12-07 15:39:50.518 [http-nio-8080-exec-1] INFO    o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-12-07 15:39:50.518 [http-nio-8080-exec-1] INFO    o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-12-07 15:39:50.519 [http-nio-8080-exec-1] INFO    o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-12-07 15:41:19.233 [File Watcher] INFO    o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 2 class path changes (0 additions, 2 deletions, 0 modifications)
2024-12-07 15:41:19.288 [Thread-5] INFO    o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-12-07 15:41:19.293 [Thread-5] WARN    o.s.b.f.s.DisposableBeanAdapter - Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-224]
2024-12-07 15:41:19.294 [Thread-5] INFO    com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-12-07 15:41:19.294 [Thread-5] INFO    com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-12-07 15:41:19.334 [restartedMain] INFO    m.ServiceMarketplaceApplication - Starting ServiceMarketplaceApplication using Java 17.0.8 with PID 12928 (E:\Programming\Spring Tutorials\Intellij\Service-Marketplace\target\classes started by Kiran in E:\Programming\Spring Tutorials\Intellij\Service-Marketplace)
2024-12-07 15:41:19.334 [restartedMain] INFO    m.ServiceMarketplaceApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-07 15:41:19.433 [restartedMain] INFO    o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-12-07 15:41:19.442 [restartedMain] INFO    o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 4 JPA repository interfaces.
2024-12-07 15:41:19.497 [restartedMain] INFO    o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-12-07 15:41:19.498 [restartedMain] INFO    o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-12-07 15:41:19.498 [restartedMain] INFO    o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
2024-12-07 15:41:19.508 [restartedMain] INFO    o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-12-07 15:41:19.508 [restartedMain] INFO    o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 173 ms
2024-12-07 15:41:19.517 [restartedMain] INFO    com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2024-12-07 15:41:19.518 [restartedMain] INFO    com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Added connection conn10: url=jdbc:h2:mem:practice user=SA
2024-12-07 15:41:19.518 [restartedMain] INFO    com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2024-12-07 15:41:19.518 [restartedMain] INFO    o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2'. Database available at 'jdbc:h2:mem:practice'
2024-12-07 15:41:19.532 [restartedMain] INFO    o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-12-07 15:41:19.534 [restartedMain] INFO    o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-12-07 15:41:19.538 [restartedMain] INFO    o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-12-07 15:41:19.539 [restartedMain] WARN    org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-12-07 15:41:19.590 [restartedMain] INFO    o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-12-07 15:41:19.595 [restartedMain] INFO    o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-12-07 15:41:19.626 [restartedMain] WARN    o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'authenticationController': Unsatisfied dependency expressed through field 'authService': Error creating bean with name 'authenticationService': Unsatisfied dependency expressed through field 'authenticationManager': No qualifying bean of type 'org.springframework.security.authentication.AuthenticationManager' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
